20090105
合约,开盘价,最高价,最低价,收盘价,涨跌（元）,涨跌幅,加权平均价,成交量(,成交金额（元）,持仓量,交收量
Au9995,192.60,192.60,191.05,192.14,2.02,0.011,191.85,"4,414","846,865,840.00",&nbsp;,&nbsp;
Au9999,193.00,193.00,191.25,192.02,1.37,0.007,191.96,"2,318.80","445,139,566.00",&nbsp;,&nbsp;
Au100g,192.00,192.75,191.20,192.51,1.56,0.008,192.15,31,"5,956,874.00",&nbsp;,&nbsp;
Au50g,194.00,194.00,194.00,194.00,7.00,0.037,194.00,6,"1,164,000.00",&nbsp;,&nbsp;
AuT+D,192.00,192.75,190.95,191.91,1.41,0.007,191.80,"3,766","722,332,480.00","73,800","1,192"
Au(T+N1),192.00,192.00,191.70,191.97,1.17,0.006,191.97,22,"4,223,400.00",8,&nbsp;
Au(T+N2),192.00,192.00,191.60,191.79,0.99,0.005,191.80,24,"4,603,200.00",16,&nbsp;
Pt9995,216.95,220.00,215.50,219.20,4.39,0.02,217.73,576,"125,414,900.00",&nbsp;,&nbsp;
Ag999,"2,470.00","2,470.00","2,470.00","2,470.00",175.00,0.076,"2,470.00",600,"1,482,000.00",40,&nbsp;
Ag(T+D),"2,526.00","2,545.00","2,516.00","2,523.00",54.00,0.022,"2,531.00","22,354","56,584,684.00","97,920",&nbsp;
