20100730
合约,开盘价,最高价,最低价,收盘价,涨跌（元）,涨跌幅,加权平均价,成交量(公斤）,成交金额（元）,持仓量,交收量
Au100g,255.10,257.00,255.08,256.15,-0.85,-0.0033,256.56,53,"13,598,160.00",&nbsp;,&nbsp;
Au9995,255.00,255.98,254.99,255.69,-0.11,-0.0004,255.77,"1,618","413,837,600.00",&nbsp;,&nbsp;
Au9999,257.40,257.40,254.80,255.80,0.00,0,255.80,"3,637.80","930,766,090.00",&nbsp;,&nbsp;
Pt9995,353.00,353.50,352.50,353.04,3.77,0.0108,353.03,32,"11,297,000.00",&nbsp;,&nbsp;
Ag(T+D),"4,105.00","4,115.00","4,096.00","4,110.00",1.00,0.0002,"4,108.00","83,138","341,563,108.00","959,324",&nbsp;
AuT+D,255.48,255.95,254.22,255.30,-0.18,-0.0007,255.41,"13,786","3,521,097,720.00","122,828","13,436"
Au(T+N1),255.90,255.90,255.90,255.90,-1.80,-0.007,255.90,2,"511,800.00",18,2
20100730
合约,开盘价,最高价,最低价,收盘价,涨跌（元）,涨跌幅,加权平均价,成交量(公斤）,成交金额（元）,持仓量,交收量
Au100g,255.10,257.00,255.08,256.15,-0.85,-0.003,256.56,53,"13,598,160.00",　,　
Au9995,255.00,255.98,254.99,255.69,-0.11,0.000,255.77,"1,618","413,837,600.00",　,　
Au9999,257.40,257.40,254.80,255.80,0.00,0.000,255.80,"3,637.80","930,766,090.00",　,　
Pt9995,353.00,353.50,352.50,353.04,3.77,0.011,353.03,32,"11,297,000.00",　,　
Ag(T+D),4105.00,4115.00,4096.00,4110.00,1.00,0.000,4108.00,"83,138","341,563,108.00","959,324",　
AuT+D,255.48,255.95,254.22,255.30,-0.18,-0.001,255.41,"13,786","3,521,097,720.00","122,828","13,436"
Au(T+N1),255.90,255.90,255.90,255.90,-1.80,-0.007,255.90,2,"511,800.00",18,2
