20160412
Variety,Open,High,Low,Close,Up/Down(yuan),Weighted&nbsp;AveragePrice,Volume(Kg),Amount(yuan),OpenInterest,Direction,Delivery&nbsp;Volume
Au9995,260.10,261.50,260.10,261.49,0.83,260.90,"1,936","505,105,820.00",,,
Au9999,260.00,262.63,259.98,261.30,0.33,261.22,"31,152.80","8,105,007,289.60",,,
Au100g,260.45,261.50,260.45,261.40,0.67,260.83,53.2,"13,876,186.00",,,
iAu9999,261.30,261.51,261.30,261.50,1.7,261.40,"8,000","2,091,204,000.00",,,
Au(T+D),259.77,261.64,259.71,261.39,2.24,260.78,"59,638","15,552,420,120.00","191,958",ShorttoLong,"13,222"
Au(T+N1),261.30,262.00,260.80,262.00,1.6,261.75,"8,023.60","2,100,167,560.00","101,580",LongtoShort,"1,234"
Au(T+N2),262.70,263.40,262.00,263.10,1.35,263.05,"24,032.40","6,321,321,400.00","115,246",LongtoShort,120
mAu(T+D),260.00,261.87,259.60,261.42,2.26,260.93,"5,108.80","1,333,045,692.00","190,628",ShorttoLong,"8,770"
Pt9995,219.75,220.50,219.75,219.86,2.44,219.80,58,"12,748,500.00",,,
Ag(T+D),3379,3424,3375,3419,58,3403,"4,178,744","14,223,235,894.00","5,961,790",LongtoShort,
