20161220
合约,开盘价,最高价,最低价,收盘价,涨跌（元）,加权平均价,成交量（千克）,成交金额（元）,持仓量,交收方向,交收量
Au100g,263,263.54,262.18,262.92,-0.38,263.14,68,"17,894,012.00",,,
Au9995,262.8,262.8,261.3,261.77,-1.03,262.13,950,"249,031,660.00",,,
Au9999,262.88,263.7,261.42,262.06,-0.7,262.53,"28,995.74","7,596,760,465.60",,,
Pt9995,222,223,222,222.06,-1.41,222.42,152,"33,808,000.00",,,
iAu9999,258.5,259,256.5,257,-1.49,258.24,"3,013.14","776,734,358.20",,,
Ag99.99,3956,3956,3956,3956,-43,3956,"1,920","7,595,520.00",128,,
Ag(T+D),3987,3995,3872,3895,-99,3944,"6,583,594","25,968,520,648.00","7,005,138",空支付多,"53,070"
Au(T+D),262.45,262.96,261.4,261.83,-0.73,262.32,"45,578","11,956,390,500.00","271,466",多支付空,"9,096"
Au(T+N1),266.05,266.6,265,265.1,-1.15,266.3,272,"72,439,920.00","43,330",多支付空,100
Au(T+N2),269.45,269.85,267.75,268.6,-0.4,268.8,78.6,"21,129,790.00","2,886",,
mAu(T+D),262.7,263.1,261.52,262.02,-0.61,262.45,"6,310.40","1,656,199,016.00","391,922",多支付空,"13,284"
