20161221
 合约,开盘价,最高价,最低价,收盘价,涨跌（元）,涨跌幅,加权平均价,成交量,成交金额,持仓量,交收方向,交收量
Au99.95,259.10,261.00,259.10,260.85,-0.92,-0.0035,260.62,"1,690","440,460,760.00",,,
Au99.99,262.40,262.65,258.60,260.97,-1.09,-0.0042,260.64,"28,913.70","7,552,041,430.80",,,
Au100g,262.00,263.00,260.00,261.50,-1.42,-0.0054,261.45,37.2,"9,726,248.00",,,
iAu99.99,256.68,256.68,253.91,255.20,-1.80,-0.0070,255.59,"13,367.42","3,421,090,074.80",,,
Au(T+D),261.60,261.79,258.24,260.86,-1.46,-0.0056,259.77,"113,588","29,506,855,380.00","268,810",多支付空,"10,346"
Au(T+N1),264.00,265.15,260.10,264.30,-2.00,-0.0075,263.75,208,"54,865,890.00","44,924",,
Au(T+N2),266.90,268.20,265.35,267.80,-1.00,-0.0037,266.15,37.4,"9,954,020.00","2,668",,
mAu(T+D),261.89,261.89,258.36,260.95,-1.50,-0.0057,260.01,"10,528.20","2,737,527,526.00","386,152",多支付空,"18,810"
Pt99.95,221.50,222.00,221.50,222.00,-0.06,-0.0003,221.79,116,"25,728,000.00",,,
Ag99.99,"3,932","3,932","3,932","3,932",-24,-0.0061,"3,932","1,620","6,369,840.00",108,,
Ag(T+D),"3,891","3,943","3,816","3,926",-18,-0.0046,"3,875","9,778,074","37,899,492,964.00","6,914,718",空支付多,"6,690"
