20170109
,开盘价,最高价,最低价,收盘价,涨跌（元）,涨跌幅,加权平均价,成交量,成交金额,持仓量,交收方向,交收量
Au99.95,265.15,265.50,265.10,265.50,0.50,0.0019,265.36,"3,046","808,307,200.00",,,
Au99.99,265.06,266.00,264.66,265.89,0.60,0.0023,265.7,"26,863.94","7,042,361,012.60",,,
Au100g,266.65,266.65,265.12,266.33,1.08,0.0041,266.08,23,"6,119,844.00",,,
iAu99.99,262.18,263.00,261.42,261.68,-0.34,-0.0013,261.71,"6,402.74","1,675,662,285.00",,,
Au(T+D),264.91,265.81,264.50,265.44,0.54,0.0020,265.13,"73,606","19,515,533,880.00","302,726",空支付多,"12,878"
Au(T+N1),268.70,269.60,268.70,268.95,0.05,0.0002,269,"1,958","526,743,930.00","108,154",多支付空,980
Au(T+N2),271.35,271.35,271.35,271.35,-0.25,-0.0009,271.35,0.2,"54,270.00","4,918",,
mAu(T+D),264.99,265.98,264.55,265.80,0.77,0.0029,265.39,"10,773.60","2,859,308,500.00","452,790",空支付多,"43,062"
Pt99.95,232.00,232.00,232.00,232.00,1.63,0.0071,232,194,"45,008,000.00",,,
Ag99.99,"3,995","4,000","3,995","3,995",-2,-0.0005,"3,995","1,950","7,790,400.00",130,,
Ag(T+D),"3,988","4,013","3,978","3,992",-8,-0.0020,"3,993","3,956,600","15,801,129,772.00","6,759,648",多支付空,"26,460"
