20170208
,开盘价,最高价,最低价,收盘价,涨,涨跌幅,加权平均价,成交量,成交金额,持仓量,交收方向,交收量
Au99.95,274.50,275.30,274.30,274.30,0.00,0.0000,274.84,"1,144","314,423,540.00",,,
Au99.99,274.20,275.39,273.85,274.35,0.19,0.0007,274.98,"26,036.56","7,153,803,955.60",,,
Au100g,274.01,275.40,273.80,274.95,0.46,0.0017,274.65,79.2,"21,752,590.00",,,
iAu99.99,273.00,274.80,268.60,272.74,2.24,0.0083,272.71,"1,151.16","313,934,126.00",,,
Au(T+D),273.63,275.18,273.60,274.54,1.21,0.0044,274.69,"75,498","20,739,224,940.00","243,668",空支付多,"7,660"
Au(T+N1),276.60,277.00,275.80,276.70,0.70,0.0025,276.75,281,"77,773,740.00","116,016",多支付空,840
Au(T+N2),279.45,280.00,278.50,279.80,0.70,0.0025,279.4,13.2,"3,688,300.00","9,818",多支付空,660
mAu(T+D),273.83,275.26,273.64,274.55,1.10,0.0040,274.78,"8,158.60","2,241,835,766.00","359,348",空支付多,"26,716"
Pt99.95,239.50,239.50,238.50,239.00,-0.31,-0.0013,238.93,282,"67,379,000.00",,,
Ag99.99,"4,098","4,098","4,080","4,080",-5,-0.0012,"4,081","12,000","48,975,540.00",800,,
Ag(T+D),"4,062","4,091","4,060","4,068",5,0.0012,"4,072","3,135,124","12,768,445,204.00","6,783,614",多支付空,"66,630"
