20180323
合约,开盘价,最高价,最低价,收盘价,涨跌（元）,涨跌幅,加权平均价,成交量,成交金额,持仓量,交收方向,交收量
Au99.95,272.00,274.75,272.00,274.75,2.73,1.00%,274.00,938.00,"257,014,460.00",-,,
Au99.99,272.62,274.98,271.62,274.97,2.87,1.05%,274.28,"31,067.20","8,599,614,761.40",-,,
Au100g,272.00,274.70,272.00,274.59,2.79,1.03%,273.54,47.00,"12,856,494.00",-,,
iAu99.99,270.49,273.00,270.49,272.85,2.60,0.96%,272.59,"1,683.62","458,951,425.80",-,,
Au(T+D),272.01,274.78,271.56,274.77,3.66,1.35%,273.54,"98,574.00","26,964,644,040.00","203,868",多支付给空,"12,216"
Au(T+N1),273.20,276.45,273.20,276.40,3.20,1.17%,275.50,112.40,"30,969,010.00","254,424",多支付给空,400
Au(T+N2),278.10,281.00,277.50,281.00,4.25,1.54%,279.80,90.40,"25,294,630.00","116,784",多支付给空,"8,800"
mAu(T+D),272.20,274.87,271.69,274.83,3.62,1.33%,273.39,"8,844.20","2,417,928,428.00","304,048",多支付给空,"60,782"
Pt99.95,209.44,209.75,209.33,209.51,0.07,0.03%,209.47,222.00,"46,503,420.00",-,,
Ag(T+D),"3,630","3,646","3,618","3,639",17,0.47%,"3,633","4,473,374.00","16,253,799,932.00","11,671,818",多支付给空,"71,310"
