20190930
合约,开盘价,最高价,最低价,收盘价,涨跌（元）,涨跌幅,加权平均价,成交量,成交金额,市场持仓,交收方向,交收量
Au99.95,344.50,344.50,342.15,342.81,-2.14,-0.62%,342.82,888.00,"304,428,940.00",-,,
Au99.99,343.33,347.99,342.03,344.49,-0.76,-0.22%,343.61,"12,293.28","4,246,350,979.40",-,,
Au100g,345.18,347.50,343.50,344.49,-2.86,-0.82%,344.82,27.20,"9,379,348.00",-,,
iAu99.99,340.80,343.50,339.90,342.46,-1.32,-0.38%,342.52,51.10,"17,502,861.00",-,,
Au(T+D),344.01,346.40,341.50,344.31,-2.09,-0.60%,343.48,"81,210.00","27,894,332,380.00","231,294",多支付给空,"13,186"
Au(T+N1),352.80,352.80,347.45,351.30,-1.90,-0.54%,348.95,736.60,"257,023,820.00","100,366",,
Au(T+N2),345.00,347.00,343.30,344.05,-3.40,-0.98%,344.50,43.00,"14,813,020.00","532,294",多支付给空,400
mAu(T+D),344.70,346.50,341.00,344.39,-2.41,-0.69%,343.69,"16,546.00","5,686,853,522.00","850,274",多支付给空,"106,138"
Pt99.95,219.35,219.50,219.35,219.38,-0.01,0.00%,219.38,40.00,"8,775,200.00",-,,
Ag(T+D),"4,287","4,306","4,212","4,238",-115,-2.64%,"4,254","15,317,486.00","65,173,580,958.00","9,725,626",多支付给空,"428,400"
PGC30g,349.00,349.00,347.60,348.30,-3.20,-0.91%,348.30,0.12,"41,796.00",-,,
