日期,合约,开盘价,收盘价
20091229,Au9999,250.00,251.58
20190403,Au99.99,283.00,282.05
20150626,Au9999,235.10,234.98
20121011,Au9999,358.00,357.54
20080909,Au99.99,179.00,176.59
20030213,Au99.99,94.1,94.36
20120720,Au9999,325.68,325.84
20171122,Au9999,275.42,274.74
20120104,Au9999,328.45,328.72
20110715,Au9999,330.50,327.20
20160914,Au9999,285.99,284.95
20120210,Au9999,352.55,351.74
20160725,Au9999,285.80,283.27
20170801,Au99.99,276.48,275.30
20120807,Au9999,330.50,331.25
20100826,Au9999,270.00,271.82
20090910,Au9999,219.00,218.44
20150821,Au9999,235.99,238.02
20190812,Au99.99,344.35,341.16
20160422,Au9999,263.00,260.44
20180123,Au99.99,276.78,277.14
20101118,Au9999,290.50,292.09
20130313,Au9999,314.28,320.90
20131223,Au9999,237.85,238.77
20151110,Au9999,225.45,224.24
20151028,Au9999,239.29,240.00
20100806,Au9999,262.70,261.31
20110406,Au9999,306.50,306.47
20181016,Au99.99,275.12,274.25
20200205,Au99.99,356.00,351.70
20200305,Au99.99,367.58,366.49
20111104,Au9999,361.00,359.49
20100519,Au9999,269.20,266.70
20150922,Au9999,234.00,233.40
20110602,Au9999,321.50,321.38
20110727,Au9999,335.10,336.10
20100506,Au9999,257.60,257.64
20150508,Au9999,237.49,237.65
20090806,Au9999,212.00,211.95
20150209,Au9999,255.49,249.74
20021104,Au9999,84.9,84.99
20150819,Au9999,231.04,231.79
20130115,Au9999,335.92,337.49
20111028,Au9999,354.00,356.34
20131104,Au9999,259.00,258.41
20190805,Au99.99,323.30,331.99
20190827,Au99.99,357.00,355.72
20130813,Au9999,267.80,267.96
20140714,Au9999,266.90,263.26
20170327,Au99.99,278.35,280.53
20121030,Au9999,347.00,344.29
20120731,Au9999,333.00,332.35
20120224,Au9999,360.00,359.79
20090609,Au9999,209.00,209.69
20120828,Au9999,342.33,340.20
20180214,Au99.99,272.44,273.21
20120515,Au9999,322.00,318.51
20150114,Au9999,248.00,247.70
20141029,Au9999,242.45,241.83
20090409,Au9999,195.66,194.58
20191010,Au99.99,350.00,346.41
20170313,Au99.99,271.78,272.90
20190704,Au99.99,318.00,315.01
20190402,Au99.99,283.00,281.51
20190417,Au99.99,281.49,279.70
20120307,Au9999,360.00,340.99
20140627,Au9999,263.80,263.09
20150605,Au9999,236.63,235.00
20080825,Au9999,182.00,181.19
20110105,Au9999,302.50,297.68
20030408,Au99.99,86.89,86.01
20090722,Au9999,208.58,208.08
20140424,Au9999,258.30,257.70
20150702,Au9999,233.00,232.73
20030109,Au99.99,94.36,94.22
20200117,Au99.99,347.00,344.75
20141104,Au9999,231.49,229.50
20180130,Au9999,276.00,274.00
20160317,Au9999,258.15,263.86
20161107,Au99.99,283.00,281.38
20180131,Au9999,275.35,274.05
20140904,Au9999,252.60,250.91
20140917,Au9999,245.99,245.32
20130801,Au9999,266.99,264.39
20190909,Au99.99,350.00,348.20
20180330,Au99.99,269.04,270.56
20160506,Au9999,268.00,268.23
20160728,Au9999,283.20,287.71
20110721,Au9999,332.00,333.17
20161130,Au99.99,268.61,267.91
20120326,Au9999,339.80,339.29
20200102,Au99.99,341.95,341.91
20160803,Au9999,290.99,291.90
20110608,Au9999,323.00,321.00
20111108,Au9999,366.00,365.20
20170425,Au99.99,283.60,283.30
20191206,Au99.99,337.68,334.60
20170927,Au99.99,280.10,277.65
20080812,Au9999,190.28,180.00
20120918,Au9999,362.99,357.50
20191125,Au99.99,334.36,330.89
20140515,Au9999,261.50,261.00
20150720,Au9999,229.95,223.52
20091223,Au9999,250.00,251.58
20120618,Au9999,333.50,331.28
20171113,Au99.99,276.90,274.99
20130912,Au9999,272.50,268.09
20130624,Au9999,261.50,260.16
20190313,Au99.99,283.98,284.86
20030219,Au99.99,93,93.43
20160216,Au9999,252.55,251.39
20110822,Au9999,381.48,389.80
20140605,Au9999,251.75,250.40
20110324,Au9999,303.80,304.30
20090713,Au9999,201.00,200.68
20150827,Au9999,235.78,233.17
20170117,Au99.99,270.98,272.18
20090327,Au9999,206.80,204.91
20090923,Au9999,223.00,222.87
20180813,Au99.99,268.30,267.72
20100212,Au9999,237.88,239.73
20170720,Au99.99,272.00,271.29
20151112,Au9999,224.85,223.40
20100709,Au9999,263.50,261.83
20141023,Au9999,245.99,244.85
20191127,Au99.99,331.95,331.50
20140806,Au9999,256.99,256.45
20170125,Au9999,270.49,268.07
20110509,Au9999,315.00,314.92
20200103,Au99.99,342.98,347.30
20191009,Au99.99,349.00,348.39
20170913,Au99.99,279.40,280.67
20190530,Au99.99,287.95,287.10
20140905,Au9999,251.44,250.25
20090115,Au9999,182.51,180.33
20190212,Au99.99,287.75,287.80
20160713,Au9999,292.00,289.42
20090212,Au9999,202.52,206.58
20180402,Au99.99,271.11,270.84
20141124,Au9999,234.00,237.15
20170309,Au99.99,274.60,272.22
20180910,Au99.99,265.76,265.19
20030306,Au99.99,94.97,94.61
20140121,Au9999,247.44,245.80
20200211,Au99.99,354.60,352.43
20150212,Au9999,249.00,245.90
20160318,Au9999,264.00,262.46
20100816,Au9999,265.65,266.86
20140423,Au9999,258.55,257.88
20091231,Au9999,250.00,251.58
20160819,Au9999,288.30,288.20
20190710,Au99.99,311.45,311.14
20170504,Au9999,289.99,276.19
20140326,Au9999,261.20,262.00
20181025,Au99.99,276.45,276.50
20091023,Au9999,232.85,233.00
20160304,Au9999,261.99,264.74
20090512,Au9999,200.03,200.67
20100824,Au9999,269.90,267.52
20090303,Au9999,209.35,203.42
20100602,Au9999,270.90,268.50
20100317,Au9999,246.30,248.30
20160527,Au9999,259.50,258.03
20120521,Au9999,326.50,326.49
20130621,Au9999,266.48,262.47
20101018,Au9999,295.06,290.99
20190304,Au99.99,285.76,280.71
20180413,Au99.99,274.08,272.10
20150603,Au9999,238.08,237.52
20180921,Au99.99,267.45,267.70
20180611,Au99.99,269.12,268.26
20120213,Au9999,351.90,351.59
20140708,Au9999,262.49,263.00
20100211,Au9999,237.70,237.49
20180314,Au9999,271.10,271.12
